asset,target_date,quote_date_used,source,value
5849,2023-05-25,2023-05-25,mirror,5439.0
4035,2023-05-25,2023-05-25,mirror,3052.0
4068,2023-05-25,2023-05-25,mirror,3218.0
5849,2023-05-25,2023-05-25,mirror,5439.0
7610,2023-05-25,2023-05-25,mirror,4063.0
4993,2023-06-12,2023-06-12,mirror,1849.0
5185,2023-06-12,2023-06-12,mirror,2219.0
4993,2023-06-12,2023-06-12,mirror,1849.0
5185,2023-06-12,2023-06-12,mirror,2219.0
4881,2023-06-12,2023-06-12,mirror,7669.0
6938,2023-06-12,2023-06-12,mirror,3596.0
8132,2023-06-12,2023-06-12,mirror,2477.0
5937,2023-06-12,2023-06-12,mirror,3931.0
4881,2023-06-12,2023-06-12,mirror,7669.0
6938,2023-06-12,2023-06-12,mirror,3596.0
8132,2023-06-12,2023-06-12,mirror,2477.0
5937,2023-06-12,2023-06-12,mirror,3931.0
10222,2023-06-12,2023-06-12,mirror,2823.0
10222,2023-06-12,2023-06-12,mirror,2823.0
6945,2023-06-22,2023-06-22,mirror,3209.0
6945,2023-06-22,2023-06-22,mirror,3209.0
6804,2023-07-17,2023-07-17,mirror,4106.0
6828,2023-07-17,2023-07-17,mirror,3170.0
3198,2023-07-17,2023-07-17,mirror,4107.0
4149,2023-07-17,2023-07-17,mirror,2356.0
6768,2023-07-17,2023-07-17,mirror,5482.0
3198,2023-07-17,2023-07-17,mirror,4107.0
4149,2023-07-17,2023-07-17,mirror,2356.0
6768,2023-07-17,2023-07-17,mirror,5482.0
6804,2023-07-17,2023-07-17,mirror,4106.0
6828,2023-07-17,2023-07-17,mirror,3170.0
4985,2023-08-04,2023-08-04,mirror,2405.0
4098,2023-08-04,2023-08-04,mirror,1110.0
6886,2023-08-04,2023-08-04,mirror,1862.0
6943,2023-08-04,2023-08-04,mirror,2981.0
4098,2023-08-04,2023-08-04,mirror,1110.0
6886,2023-08-04,2023-08-04,mirror,1862.0
6943,2023-08-04,2023-08-04,mirror,2981.0
4985,2023-08-04,2023-08-04,mirror,2405.0
4082,2023-08-09,2023-08-09,mirror,1805.0
4082,2023-08-09,2023-08-09,mirror,1805.0
8126,2023-08-10,2023-08-10,mirror,2283.0
8126,2023-08-10,2023-08-10,mirror,2283.0
6806,2023-08-15,2023-08-15,mirror,3839.0
4199,2023-08-15,2023-08-15,mirror,3665.0
6938,2023-08-15,2023-08-15,mirror,3672.0
4199,2023-08-15,2023-08-15,mirror,3665.0
6938,2023-08-15,2023-08-15,mirror,3672.0
6806,2023-08-15,2023-08-15,mirror,3839.0
10222,2023-08-21,2023-08-21,mirror,2489.0
5848,2023-08-21,2023-08-21,mirror,3813.0
5848,2023-08-21,2023-08-21,mirror,3813.0
10222,2023-08-21,2023-08-21,mirror,2489.0
5012,2023-08-23,2023-08-23,mirror,5733.0
5012,2023-08-23,2023-08-23,mirror,5733.0
9497,2023-08-23,2023-08-23,mirror,2875.0
9497,2023-08-23,2023-08-23,mirror,2875.0
5967,2023-08-23,2023-08-23,mirror,5359.0
5967,2023-08-23,2023-08-23,mirror,5359.0
7610,2023-08-24,2023-08-24,mirror,2203.0
6826,2023-08-24,2023-08-24,mirror,2481.0
6826,2023-08-24,2023-08-24,mirror,2481.0
7610,2023-08-24,2023-08-24,mirror,2203.0
4068,2023-09-26,2023-09-26,mirror,2991.0
4068,2023-09-26,2023-09-26,mirror,2991.0
3214,2023-10-03,2023-10-03,mirror,2189.0
3214,2023-10-03,2023-10-03,mirror,2189.0
6813,2023-10-05,2023-10-05,mirror,5325.0
1166,2023-10-05,2023-10-05,mirror,3940.0
8150,2023-10-05,2023-10-05,mirror,4503.0
1166,2023-10-05,2023-10-05,mirror,3940.0
8150,2023-10-05,2023-10-05,mirror,4503.0
6813,2023-10-05,2023-10-05,mirror,5325.0
8136,2023-10-08,2023-10-08,mirror,3567.0
8205,2023-10-08,2023-10-08,mirror,3961.0
8205,2023-10-08,2023-10-08,mirror,3961.0
8136,2023-10-08,2023-10-08,mirror,3567.0
7565,2023-10-09,2023-10-09,mirror,1611.0
1689,2023-10-09,2023-10-09,mirror,2140.0
7561,2023-10-09,2023-10-09,mirror,1978.0
1689,2023-10-09,2023-10-09,mirror,2140.0
7561,2023-10-09,2023-10-09,mirror,1978.0
7565,2023-10-09,2023-10-09,mirror,1611.0
6820,2023-10-10,2023-10-10,mirror,1406.0
6820,2023-10-10,2023-10-10,mirror,1406.0
