Team,Week,Year,PF,Win?,Opponent,Points against,Margin,Max PF,Efficiency,Number of Injuries,Number of suspensions,Number of players on bye,Largest deficit overcome (if win),Starter turnover from previous week,Difference in pregame avg max PF from opponent,UPST,Hardship,Tanking,Luck,Brosenzweig,Sisenzweig,Highest score?,Lowest score?,Narrowest victory?,Largest blowout?,Most efficient?,Least efficient?,Increase in points from previous week,Number of QB started,Number of WR started,Number of RB started,Number of TE started,Number of QB rostered,Number of WR rostered,Number of RB rostered,Number of TE rostered,Number of transactions,Number of trades,Amount of FAAB spent,Most number of players started from same NFL team,Most number of players rostered from same NFL team,Most number of QBs started from same NFL team,Most number of QBs rostered from same NFL team,Most number of RBs started from same NFL team,Most number of RBs rostered from same NFL team,Most number of WR started from same NFL team,Most number of WR rostered from same NFL team,Most number of TE started from same NFL team,Most number of TE rostered from same NFL team,Number of NFL teams among starting players,Number of NFL teams amoung rostered players,Number of rookies started,Number of rookies rostered,Player average age,Win streak,Loss streak,Win streak counting previous season,Loss streak counting previous season,Top half of league?,Difference between highest and lowest starters,Combined matchup score,Number of donuts,Number of players under 10,Number of players over 20,Number of players over 30,Number of players over 40,Number of players over 50,Number of cuffs rostered,Number of cuffs started,Future draft capital,Startup draft players remaining,WeekNum,Week_Sort,Week_Group,_week_sort
AceMatthew,1,2023,91.82,0.0,Shmuel256,125.54,-33.72,0.0,,0,0,0,,,,0.0,0.0,,-0.1429,0,0,,,,,,,,2,4,2,1,3,11,8,4,5,1,0.0,2,3,,,,,,,,,8,18,0,0,24.74,0,1,,,,21.4,217.36,2,5,1,0,0,0,,,,,1,1,1,1
AceMatthew,2,2023,117.52,0.0,LWebs53,158.22,-40.7,0.0,,0,0,0,,2.0,,0.0,0.0,,-0.2857,0,0,,,,,,,25.700000000000003,2,4,2,1,3,11,8,4,0,0,0.0,2,3,,,,,,,,,8,18,0,0,24.76,0,2,,,,16.9,275.74,0,4,1,0,0,0,,,,,2,2,2,2
AceMatthew,3,2023,106.52,0.0,stevenb123,108.9,-2.38,0.0,,0,0,0,,4.0,,0.0,0.0,,-0.1429,0,0,,,,,,,-11.0,2,3,3,1,3,12,8,4,2,1,0.0,2,3,,,,,,,,,8,18,0,0,25.02,0,3,,,,14.7,215.42,0,3,0,0,0,0,,,,,3,3,3,3
AceMatthew,4,2023,90.18,0.0,Oliverwkw,175.3,-85.12,0.0,,0,0,0,,8.0,,0.0,0.0,,0.0,0,0,,,,,,,-16.33999999999999,2,4,2,1,3,13,8,4,2,0,0.0,2,3,,,,,,,,,8,18,0,0,25.18,0,4,,,,27.9,265.48,1,5,1,0,0,0,,,,,4,4,4,4
AceMatthew,5,2023,178.98,1.0,JacobRosenzweig,126.38,52.6,0.0,,0,0,1,,4.0,,0.0,0.0,,0.0,0,0,,,,,,,88.79999999999998,2,3,3,1,3,12,9,4,3,0,0.0,2,3,,,,,,,,,8,20,0,0,24.79,1,0,,,,47.4,305.36,0,3,4,2,1,0,,,,,5,5,5,5
AceMatthew,6,2023,101.54,1.0,BROsenzweig,87.6,13.94,0.0,,0,0,0,,4.0,,0.0,0.0,,0.8571,0,1,,,,,,,-77.43999999999998,2,3,3,1,3,12,8,5,0,0,0.0,2,3,,,,,,,,,8,19,0,0,24.94,2,0,,,,20.0,189.14,0,3,1,0,0,0,,,,,6,6,6,6
AceMatthew,7,2023,119.26,0.0,plehv79,153.64,-34.38,0.0,,0,0,4,,8.0,,0.0,0.0,,-0.4286,0,0,,,,,,,17.72,1,5,2,1,3,11,9,5,7,0,0.0,2,3,,,,,,,,,8,19,0,0,25.0,0,1,,,,17.6,272.9,0,2,1,0,0,0,,,,,7,7,7,7
AceMatthew,8,2023,164.9,1.0,Shmuel256,129.54,35.36,0.0,,0,0,0,,4.0,,0.0,0.0,,0.1429,0,0,,,,,,,45.64,2,4,2,1,4,12,8,4,4,0,0.0,2,2,,,,,,,,,8,20,0,0,25.37,1,0,,,,18.12,294.44,0,2,4,0,0,0,,,,,8,8,8,8
AceMatthew,9,2023,173.68,1.0,LWebs53,125.02,48.66,0.0,,0,0,4,,8.0,,0.0,0.0,,0.0,0,0,,,,,,,8.780000000000001,2,4,2,1,4,12,9,3,3,1,0.0,2,2,,,,,,,,,7,19,0,0,25.47,2,0,,,,17.9,298.7,0,0,5,0,0,0,,,,,9,9,9,9
AceMatthew,10,2023,165.44,1.0,stevenb123,103.3,62.14,0.0,,0,0,1,,4.0,,0.0,0.0,,0.0,0,0,,,,,,,-8.240000000000009,2,4,2,1,4,11,10,3,0,0,0.0,2,2,,,,,,,,,7,18,0,0,25.49,3,0,,,,36.8,268.74,0,2,3,2,0,0,,,,,10,10,10,10
