Player,Year,Top Team,Last team,Number of teams,Number of transactions,Number of trades,Points,Avg points,Weeks missed due to injury,Weeks missed due to suspension,Weeks as starter,% of points (highest team),% of points (lowest team),Change in points from previous season,Change in avg points from previous season,Change in points from career,Change in avg points from career,Times as Player of the week?,Times as QB of the week?,Times as RB of the week?,Times as WR of the week?,Times as TE of the week?,Times as Benchwarmer of the week?,Times as Bench QB of the week?,Times as Bench RB of the week?,Times as Bench WR of the week?,Times as Bench TE of the week?,Times as Highest starter on team?,Times as Lowest starter on team?,Rookie?,Age,Best week,Worst week
Brenton Strange,2025,,,,,,92.4,,,,,,,,,,,,,,,,,,,,,,,,,14.9,0.0
Brevin Jordan,2021,,,,,,55.8,,,,,,,,,,,,,,,,,,,,,,,,,13.1,0.0
Brevin Jordan,2022,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,3.9,0.0
Brevin Jordan,2023,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,6.5,6.5
Brian Robinson,2022,,,,,,110.7,,,,,,,,,,,,,,,,,,,,,,,,,20.5,0.0
Brian Robinson,2023,,,,,,185.6,,,,,,,,,,,,,,,,,,,,,,,,,28.9,0.0
Brian Robinson,2024,,,,,,157.2,,,,,,,,,,,,,,,,,,,,,,,,,20.3,0.0
Brian Robinson,2025,,,,,,57.800000000000004,,,,,,,,,,,,,,,,,,,,,,,,,11.5,0.0
Brian Thomas,2024,,,,,,266.7,,,,,,,,,,,,,,,,,,,,,,,,,32.5,0.0
Brian Thomas,2025,,,,,,123.0,,,,,,,,,,,,,,,,,,,,,,,,,23.0,0.0
Brock Bowers,2024,,,,,,247.7,,,,,,,,,,,,,,,,,,,,,,,,,31.3,0.0
Brock Bowers,2025,,,,,,176.2,,,,,,,,,,,,,,,,,,,,,,,,,43.3,0.0
Brock Purdy,2022,,,,,,71.2,,,,,,,,,,,,,,,,,,,,,,,,,21.7,15.96
Brock Purdy,2023,,,,,,291.6,,,,,,,,,,,,,,,,,,,,,,,,,29.46,0.0
Brock Purdy,2024,,,,,,262.86,,,,,,,,,,,,,,,,,,,,,,,,,30.28,0.0
Brock Purdy,2025,,,,,,134.28,,,,,,,,,,,,,,,,,,,,,,,,,29.9,0.0
Bryan Edwards,2021,,,,,,84.5,,,,,,,,,,,,,,,,,,,,,,,,,17.8,0.0
Bryce Perkins,2022,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,8.4,0.5
Bryce Young,2023,,,,,,147.22,,,,,,,,,,,,,,,,,,,,,,,,,21.18,0.0
Bryce Young,2024,,,,,,155.58,,,,,,,,,,,,,,,,,,,,,,,,,27.12,-0.16
Bryce Young,2025,,,,,,190.64,,,,,,,,,,,,,,,,,,,,,,,,,31.82,0.0
Bub Means,2024,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,,,6.7,0.0
Bucky Irving,2024,,,,,,227.0,,,,,,,,,,,,,,,,,,,,,,,,,27.5,0.0
Bucky Irving,2025,,,,,,119.4,,,,,,,,,,,,,,,,,,,,,,,,,25.5,0.0
C.J. Stroud,2023,,,,,,251.46,,,,,,,,,,,,,,,,,,,,,,,,,40.8,0.0
C.J. Stroud,2024,,,,,,212.38,,,,,,,,,,,,,,,,,,,,,,,,,23.5,0.0
C.J. Stroud,2025,,,,,,175.52,,,,,,,,,,,,,,,,,,,,,,,,,28.76,0.0
Cade Otton,2022,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,6.5,0.0
Cade Otton,2023,,,,,,41.1,,,,,,,,,,,,,,,,,,,,,,,,,9.6,0.0
Cade Otton,2024,,,,,,139.6,,,,,,,,,,,,,,,,,,,,,,,,,29.1,-0.4
Cade Otton,2025,,,,,,92.5,,,,,,,,,,,,,,,,,,,,,,,,,17.2,0.0
Caleb Huntley,2022,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,3.4,0.0
Caleb Williams,2024,,,,,,239.62,,,,,,,,,,,,,,,,,,,,,,,,,28.64,0.0
Caleb Williams,2025,,,,,,272.6,,,,,,,,,,,,,,,,,,,,,,,,,38.7,0.0
Calvin Austin,2023,,,,,,21.1,,,,,,,,,,,,,,,,,,,,,,,,,15.2,5.9
Calvin Austin,2025,,,,,,52.9,,,,,,,,,,,,,,,,,,,,,,,,,12.4,0.0
Calvin Ridley,2021,,,,,,71.1,,,,,,,,,,,,,,,,,,,,,,,,,19.3,0.0
Calvin Ridley,2022,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Calvin Ridley,2023,,,,,,206.3,,,,,,,,,,,,,,,,,,,,,,,,,31.1,0.0
Calvin Ridley,2024,,,,,,188.9,,,,,,,,,,,,,,,,,,,,,,,,,25.4,0.0
Calvin Ridley,2025,,,,,,47.3,,,,,,,,,,,,,,,,,,,,,,,,,18.1,0.0
Cam Akers,2021,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Cam Akers,2022,,,,,,125.5,,,,,,,,,,,,,,,,,,,,,,,,,34.7,0.0
Cam Akers,2023,,,,,,46.699999999999996,,,,,,,,,,,,,,,,,,,,,,,,,9.5,0.0
Cam Akers,2024,,,,,,18.7,,,,,,,,,,,,,,,,,,,,,,,,,9.9,3.5
Cam Miller,2025,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Cam Newton,2021,,,,,,83.36,,,,,,,,,,,,,,,,,,,,,,,,,26.16,0.0
Cam Skattebo,2025,,,,,,127.7,,,,,,,,,,,,,,,,,,,,,,,,,31.0,0.0
Cam Ward,2025,,,,,,157.44,,,,,,,,,,,,,,,,,,,,,,,,,23.94,0.0
Carlos Hyde,2021,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,7.3,7.3
Carson Steele,2024,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,8.4,-0.4
Carson Wentz,2021,,,,,,243.92,,,,,,,,,,,,,,,,,,,,,,,,,24.18,0.0
Carson Wentz,2022,,,,,,92.46,,,,,,,,,,,,,,,,,,,,,,,,,27.72,0.0
Carson Wentz,2025,,,,,,14.74,,,,,,,,,,,,,,,,,,,,,,,,,14.74,14.74
Cedric Tillman,2023,,,,,,33.4,,,,,,,,,,,,,,,,,,,,,,,,,9.5,0.0
Cedric Tillman,2024,,,,,,58.9,,,,,,,,,,,,,,,,,,,,,,,,,28.9,0.0
Cedric Tillman,2025,,,,,,51.5,,,,,,,,,,,,,,,,,,,,,,,,,16.2,0.0
CeeDee Lamb,2021,,,,,,226.3,,,,,,,,,,,,,,,,,,,,,,,,,36.1,0.0
CeeDee Lamb,2022,,,,,,285.4,,,,,,,,,,,,,,,,,,,,,,,,,38.0,0.0
CeeDee Lamb,2023,,,,,,366.7,,,,,,,,,,,,,,,,,,,,,,,,,41.0,0.0
CeeDee Lamb,2024,,,,,,263.40000000000003,,,,,,,,,,,,,,,,,,,,,,,,,39.6,0.0
CeeDee Lamb,2025,,,,,,189.9,,,,,,,,,,,,,,,,,,,,,,,,,24.2,0.0
Chase Brown,2023,,,,,,46.199999999999996,,,,,,,,,,,,,,,,,,,,,,,,,19.5,0.0
Chase Brown,2024,,,,,,254.0,,,,,,,,,,,,,,,,,,,,,,,,,26.7,0.0
Chase Brown,2025,,,,,,232.5,,,,,,,,,,,,,,,,,,,,,,,,,32.9,0.0
Chase Claypool,2021,,,,,,148.6,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.0
Chase Claypool,2022,,,,,,100.14,,,,,,,,,,,,,,,,,,,,,,,,,23.4,0.0
Chase Claypool,2023,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Chase Edmonds,2021,,,,,,143.3,,,,,,,,,,,,,,,,,,,,,,,,,26.7,0.0
Chase Edmonds,2022,,,,,,51.5,,,,,,,,,,,,,,,,,,,,,,,,,15.7,0.0
Chig Okonkwo,2022,,,,,,35.9,,,,,,,,,,,,,,,,,,,,,,,,,18.5,2.0
Chig Okonkwo,2023,,,,,,107.80000000000001,,,,,,,,,,,,,,,,,,,,,,,,,18.3,0.0
Chig Okonkwo,2024,,,,,,15.5,,,,,,,,,,,,,,,,,,,,,,,,,10.9,4.6
Chig Okonkwo,2025,,,,,,12.4,,,,,,,,,,,,,,,,,,,,,,,,,7.5,0.0
Chimere Dike,2025,,,,,,102.0,,,,,,,,,,,,,,,,,,,,,,,,,21.4,-0.4
Chris Carson,2021,,,,,,48.1,,,,,,,,,,,,,,,,,,,,,,,,,16.2,0.0
Chris Evans,2021,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5
Chris Godwin,2021,,,,,,242.4,,,,,,,,,,,,,,,,,,,,,,,,,30.2,0.0
Chris Godwin,2022,,,,,,213.3,,,,,,,,,,,,,,,,,,,,,,,,,29.0,0.0
Chris Godwin,2023,,,,,,197.7,,,,,,,,,,,,,,,,,,,,,,,,,25.5,0.0
Chris Godwin,2024,,,,,,136.8,,,,,,,,,,,,,,,,,,,,,,,,,35.5,0.0
Chris Godwin,2025,,,,,,57.4,,,,,,,,,,,,,,,,,,,,,,,,,14.0,0.0
Chris Olave,2022,,,,,,183.2,,,,,,,,,,,,,,,,,,,,,,,,,23.7,0.0
Chris Olave,2023,,,,,,216.7,,,,,,,,,,,,,,,,,,,,,,,,,23.3,0.0
Chris Olave,2024,,,,,,76.7,,,,,,,,,,,,,,,,,,,,,,,,,20.6,-0.5
Chris Olave,2025,,,,,,242.1,,,,,,,,,,,,,,,,,,,,,,,,,36.8,0.0
Chris Rodriguez,2023,,,,,,26.8,,,,,,,,,,,,,,,,,,,,,,,,,19.5,0.0
Chris Rodriguez,2025,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,13.9,0.0
Christian Kirk,2021,,,,,,201.32,,,,,,,,,,,,,,,,,,,,,,,,,24.4,0.0
Christian Kirk,2022,,,,,,220.0,,,,,,,,,,,,,,,,,,,,,,,,,31.5,0.0
Christian Kirk,2023,,,,,,150.26,,,,,,,,,,,,,,,,,,,,,,,,,21.96,0.0
Christian Kirk,2024,,,,,,70.9,,,,,,,,,,,,,,,,,,,,,,,,,19.1,0.0
Christian Kirk,2025,,,,,,55.099999999999994,,,,,,,,,,,,,,,,,,,,,,,,,16.4,0.0
Christian McCaffrey,2021,,,,,,126.5,,,,,,,,,,,,,,,,,,,,,,,,,27.7,0.0
Christian McCaffrey,2022,,,,,,338.46,,,,,,,,,,,,,,,,,,,,,,,,,39.26,0.0
Christian McCaffrey,2023,,,,,,390.3,,,,,,,,,,,,,,,,,,,,,,,,,48.7,0.0
Christian McCaffrey,2024,,,,,,47.8,,,,,,,,,,,,,,,,,,,,,,,,,16.7,0.0
Christian McCaffrey,2025,,,,,,374.8,,,,,,,,,,,,,,,,,,,,,,,,,39.1,0.0
Christian Watson,2022,,,,,,147.5,,,,,,,,,,,,,,,,,,,,,,,,,32.7,0.0
Christian Watson,2023,,,,,,101.3,,,,,,,,,,,,,,,,,,,,,,,,,27.6,0.0
Christian Watson,2024,,,,,,105.3,,,,,,,,,,,,,,,,,,,,,,,,,19.0,0.0
Christian Watson,2025,,,,,,110.1,,,,,,,,,,,,,,,,,,,,,,,,,24.9,0.0
