Player,Top team,Last team,Number of teams,Number of transactions,Number of trades,Points,Avg points,Weeks missed due to injury,Weeks missed due to suspension,Weeks as starter,% of points (highest team),% of points (lowest team),Times as Player of the week?,Times as QB of the week?,Times as RB of the week?,Times as WR of the week?,Times as TE of the week?,Times as Benchwarmer of the week?,Times as Bench QB of the week?,Times as Bench RB of the week?,Times as Bench WR of the week?,Times as Bench TE of the week?,Times as Highest starter on team?,Times as Lowest starter on team?,Rookie?,Age,Best week,Worst week
DeVonta Smith,,,,,,1035.5,,,,,,,,,,,,,,,,,,,,,33.3,0.0
Dee Eskridge,,,,,,27.700000000000003,,,,,,,,,,,,,,,,,,,,,12.5,0.0
DeeJay Dallas,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,2.0,0.0
Deebo Samuel,,,,,,1031.9,,,,,,,,,,,,,,,,,,,,,35.8,0.0
Demarcus Robinson,,,,,,125.5,,,,,,,,,,,,,,,,,,,,,27.4,0.0
Demaryius Thomas,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Deneric Prince,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Deon Jackson,,,,,,37.6,,,,,,,,,,,,,,,,,,,,,28.1,3.9
Derek Carr,,,,,,808.56,,,,,,,,,,,,,,,,,,,,,24.96,0.0
Derrick Henry,,,,,,1228.22,,,,,,,,,,,,,,,,,,,,,47.7,0.0
Deshaun Watson,,,,,,226.5,,,,,,,,,,,,,,,,,,,,,21.86,-1.8
Desmond Ridder,,,,,,178.36,,,,,,,,,,,,,,,,,,,,,26.16,-1.32
Deuce Vaughn,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,6.2,0.0
Devaughn Vele,,,,,,89.2,,,,,,,,,,,,,,,,,,,,,14.0,0.0
Devin Duvernay,,,,,,72.6,,,,,,,,,,,,,,,,,,,,,16.4,0.0
Devin Neal,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,15.4,0.0
Devin Singletary,,,,,,590.34,,,,,,,,,,,,,,,,,,,,,24.1,0.0
Devonta Freeman,,,,,,97.8,,,,,,,,,,,,,,,,,,,,,20.7,0.0
Devontae Booker,,,,,,112.1,,,,,,,,,,,,,,,,,,,,,17.5,0.0
Dez Fitzpatrick,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Dillon Gabriel,,,,,,70.08,,,,,,,,,,,,,,,,,,,,,20.08,0.0
Diontae Johnson,,,,,,652.9,,,,,,,,,,,,,,,,,,,,,30.5,0.0
Donovan Peoples-Jones,,,,,,153.5,,,,,,,,,,,,,,,,,,,,,19.4,0.0
Dont'e Thornton,,,,,,20.3,,,,,,,,,,,,,,,,,,,,,6.5,0.0
Dontayvion Wicks,,,,,,211.6,,,,,,,,,,,,,,,,,,,,,28.0,0.0
Dontrell Hilliard,,,,,,11.200000000000001,,,,,,,,,,,,,,,,,,,,,9.9,1.3
Dorian Thompson-Robinson,,,,,,17.3,,,,,,,,,,,,,,,,,,,,,10.46,0.0
Drake London,,,,,,749.68,,,,,,,,,,,,,,,,,,,,,38.8,0.0
Drake Maye,,,,,,472.92,,,,,,,,,,,,,,,,,,,,,26.3,0.0
Drew Brees,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Drew Lock,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Dyami Brown,,,,,,49.6,,,,,,,,,,,,,,,,,,,,,7.3,-1.6
Dylan Laube,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Dylan Sampson,,,,,,75.5,,,,,,,,,,,,,,,,,,,,,17.3,-0.2
Easton Stick,,,,,,17.38,,,,,,,,,,,,,,,,,,,,,17.38,17.38
Elic Ayomanor,,,,,,94.8,,,,,,,,,,,,,,,,,,,,,15.6,0.0
Elijah Arroyo,,,,,,36.9,,,,,,,,,,,,,,,,,,,,,10.9,0.0
Elijah Mitchell,,,,,,215.4,,,,,,,,,,,,,,,,,,,,,27.8,-0.3
Elijah Moore,,,,,,416.4,,,,,,,,,,,,,,,,,,,,,29.6,0.0
Emanuel Wilson,,,,,,127.1,,,,,,,,,,,,,,,,,,,,,26.5,0.0
Emari Demercado,,,,,,47.1,,,,,,,,,,,,,,,,,,,,,14.0,0.0
Emeka Egbuka,,,,,,188.9,,,,,,,,,,,,,,,,,,,,,31.3,0.0
Emmanuel Sanders,,,,,,65.2,,,,,,,,,,,,,,,,,,,,,20.4,0.0
