Year,Original Team,Number,Player Picked,Trade 1,Trade 2,Trade 3,Trade 4,Trade 5,Trade 6,Trade 7,Trade 8,Trade 9,Trade 10,etc
2022,LWebs53,R3.24,Malik Willis,,,,,,,,,,,
2022,JacobRosenzweig,R4.25,Desmond Ridder,,,,,,,,,,,
2022,stevenb123,R4.26,Wan'Dale Robinson,,,,,,,,,,,
2022,stevenb123,R4.27,Isiah Pacheco,,,,,,,,,,,
2022,JacobRosenzweig,R4.28,Tyrion Davis-Price,,,,,,,,,,,
2022,Oliverwkw,R4.29,Alec Pierce,,,,,,,,,,,
2022,plehv79,R4.30,Trey McBride,,,,,,,,,,,
2022,plehv79,R4.31,Albert Okwuegbunam,,,,,,,,,,,
2022,LWebs53,R4.32,Marquez Valdes-Scantling,,,,,,,,,,,
2023,plehv79,R1.1,Bijan Robinson,,,,,,,,,,,
2023,JacobRosenzweig,R1.2,Anthony Richardson,,,,,,,,,,,
2023,stevenb123,R1.3,Jahmyr Gibbs,,,,,,,,,,,
2023,stevenb123,R1.4,Bryce Young,,,,,,,,,,,
2023,plehv79,R1.5,Jaxon Smith-Njigba,,,,,,,,,,,
2023,AceMatthew,R1.6,Quentin Johnston,,,,,,,,,,,
2023,AceMatthew,R1.7,Dalton Kincaid,,,,,,,,,,,
2023,AceMatthew,R1.8,Jordan Addison,,,,,,,,,,,
2023,JacobRosenzweig,R2.9,C.J. Stroud,,,,,,,,,,,
2023,AceMatthew,R2.10,Zay Flowers,,,,,,,,,,,
2023,Oliverwkw,R2.11,De'Von Achane,,,,,,,,,,,
2023,plehv79,R2.12,Zach Charbonnet,,,,,,,,,,,
2023,stevenb123,R2.13,Hendon Hooker,,,,,,,,,,,
2023,BROsenzweig,R2.14,Michael Mayer,,,,,,,,,,,
2023,BROsenzweig,R2.15,Kendre Miller,,,,,,,,,,,
2023,stevenb123,R2.16,Sam LaPorta,,,,,,,,,,,
2023,JacobRosenzweig,R3.17,Jonathan Mingo,,,,,,,,,,,
2023,Shmuel256,R3.18,Jalin Hyatt,,,,,,,,,,,
2023,Oliverwkw,R3.19,Rashee Rice,,,,,,,,,,,
2023,plehv79,R3.20,Tank Bigsby,,,,,,,,,,,
2023,LWebs53,R3.21,Marvin Mims,,,,,,,,,,,
2023,plehv79,R3.22,Roschon Johnson,,,,,,,,,,,
2023,Oliverwkw,R3.23,Will Levis,,,,,,,,,,,
2023,Oliverwkw,R3.24,Tyjae Spears,,,,,,,,,,,
2023,JacobRosenzweig,R4.25,Josh Downs,,,,,,,,,,,
2023,Oliverwkw,R4.26,Chase Brown,,,,,,,,,,,
2023,Shmuel256,R4.27,Jayden Reed,,,,,,,,,,,
2023,JacobRosenzweig,R4.28,Zach Evans,,,,,,,,,,,
2023,AceMatthew,R4.29,Eric Gray,,,,,,,,,,,
