Player-Week,Player-year,Player-all-time,team-week,team-year,team-all-time,league-week,league-year,league-all-time,add_drops,player_additions,trades,non_rookie_picks,rookie_picks,Formulas
Rostered boom streak,Weeks missed due to suspension,Weeks on bench,Number of QB rostered,Number of RB started,Times Largest blowout?,Startup draft players remaining,Number of cuffs started,Number of weeks missed due to suspensions,Link to previous transaction (added player),,,,,
Rostered upper quartile streak,Weeks as starter,Healthy weeks on bench,Number of WR rostered,Number of TE started,Times Most efficient?,Number of Injuries,Startup draft players remaining,Number of Add/Drops,Link to next transaction (dropped player),,,,,
Rostered middle 50% streak,Weeks on bench,Weeks rostered,Number of RB rostered,Number of QB rostered,Times Least efficient?,Number of suspensions,Number of weeks missed due to injury,Number of waiver adds,Link to previous transaction (dropped player),,,,,
Rostered lower quartile streak,Healthy weeks on bench,Healthy weeks rostered,Number of TE rostered,Number of WR rostered,Times Top half of league?,Number of players on bye,Number of weeks missed due to suspensions,Number of free agency adds,,,,,,
Rostered bust streak,Weeks rostered,% of starts,Most number of players started from same NFL team,Number of RB rostered,Times One-man army?,Hardship,Inseason starter turnover,Number of pure drops,,,,,,
Injury?,Healthy weeks rostered,Healthy % of starts,Most number of players rostered from same NFL team,Number of TE rostered,Times Most bench points?,Starter-adjusted Hardship,Offseason starter turnover,Offseason trades,,,,,,
Suspension?,% of starts,Win % as starter,Most number of QBs started from same NFL team,Most number of players started from same NFL team,Times Most injured?,Starter turnover from previous week,Inseason roster turnover,Inseason trades,,,,,,
Bye?,Healthy % of starts,Win % while rostered,Most number of QBs rostered from same NFL team,Most number of players rostered from same NFL team,Average weekly starter turnover,Number of Add/Drops,Offseason roster turnover,Total trades,,,,,,
Change from previous week,Win % as starter,Championships rostered by,Most number of RBs started from same NFL team,Most number of QBs started from same NFL team,Average weekly roster turnover,Number of waiver adds,Number of Add/Drops,Total transactions,,,,,,
Change from previous 5 weeks avg,Win % while rostered,Championships started by,Most number of RBs rostered from same NFL team,Most number of QBs rostered from same NFL team,Number of QB started,Number of free agency adds,Number of waiver adds,Amount of FAAB spent,,,,,,
Change from career average to that point,Rostered by champion?,Championships started in,Most number of WR started from same NFL team,Most number of RBs started from same NFL team,Number of WR started,Number of pure drops,Number of free agency adds,,,,,,,
Change from overall career average,Started by champion?,Total points as starter,Most number of WR rostered from same NFL team,Most number of RBs rostered from same NFL team,Number of RB started,Number of trades,Number of pure drops,,,,,,,
Number of weeks on team,Started in championship game?,Total points on bench,Most number of TE started from same NFL team,Most number of WR started from same NFL team,Number of TE started,Total transactions,Offseason trades,,,,,,,
Number of consecutive weeks on bench before start (if starter),Total points as starter,% of league points,Most number of TE rostered from same NFL team,Most number of WR rostered from same NFL team,Number of QB rostered,Amount of FAAB spent,Inseason trades,,,,,,,
Number of consecutive weeks on bench before start excluding injury/bye (if starter),Total points on bench,PPG starter,Number of NFL teams among starting players,Most number of TE started from same NFL team,Number of WR rostered,,Total trades,,,,,,,
Total weeks as team starter,% of league points,PPG starter adjusted by position,Number of NFL teams among rostered players,Most number of TE rostered from same NFL team,Number of RB rostered,,Total transactions,,,,,,,
Total weeks as team starter this season,Change in points from previous season,Adjusted PPG starter,Stacks,Number of NFL teams among starting players,Number of TE rostered,,Amount of FAAB spent,,,,,,,
Weeks rostered by this team,Change in avg points from previous season,Adjusted PPG starter adjusted by position,Number of rookies started,Number of NFL teams among rostered players,Most number of players started from same NFL team,,,,,,,,,
Weeks rostered by this team this season,Change in avg points from previous season adjusted by position,PPG starter per rostered week,Number of rookies rostered,Stacks,Most number of players rostered from same NFL team,,,,,,,,,
% of starts on team,Change in points from career,PPG starter per rostered week adjusted by position,% of players drafted,Number of rookies started,Most number of QBs started from same NFL team,,,,,,,,,
% of starts on team this season,Change in avg points from career,Adjusted PPG starter per rostered week,% of 3rd year+ players drafted,Number of rookies rostered,Most number of QBs rostered from same NFL team,,,,,,,,,
% of team points on team,Change in avg points from career adjusted by position,Adjusted PPG starter per rostered week adjusted by position,Player average age,% of players drafted,Most number of RBs started from same NFL team,,,,,,,,,
% of team points on team this season,PPG starter,PPG bench,Team age including picks,% of 3rd year+ players drafted,Most number of RBs rostered from same NFL team,,,,,,,,,
Total points as team starter,PPG starter adjusted by position,PPG bench adjusted by position,Difference between highest and lowest starters,Player average age,Most number of WR started from same NFL team,,,,,,,,,
Total points as team starter this season,Adjusted PPG starter,Adjusted PPG bench,Number of donuts,Team age including picks,Most number of WR rostered from same NFL team,,,,,,,,,
PPG as team starter,Adjusted PPG starter adjusted by position,Adjusted PPG bench adjusted by position,Number of starter donuts,Difference between highest and lowest starters,Most number of TE started from same NFL team,,,,,,,,,
PPG as team starter adjusted by position,PPG starter per rostered week,PPG starter vs bench diff,Number of players under 10,Number of donuts,Most number of TE rostered from same NFL team,,,,,,,,,
