Player,Top team,Last team,Number of teams,Taxi-eligible,Points,Points (full career),Avg points,Avg points (full career),Adjusted Avg points,Times as Player of the week?,Times as QB of the week?,Times as RB of the week?,Times as WR of the week?,Times as TE of the week?,Times as Benchwarmer of the week?,Times as Bench QB of the week?,Times as Bench RB of the week?,Times as Bench WR of the week?,Times as Bench TE of the week?,Times as Highest starter on team?,Times as Lowest starter on team?,Times as Captain?,Number of Add/Drops,Number of drops,Number of trades,Starter scoring volatility,Starter scoring floor,Starter scoring ceiling,Starter boom %,Starter bust %,Starter upper quartile %,Starter middle 50% %,Starter lower quartile %,Starter PAR,Starter PAR per game,Rostered scoring volatility,Rostered scoring floor,Rostered scoring ceiling,Rostered boom %,Rostered bust %,Rostered upper quartile %,Rostered middle 50% %,Rostered lower quartile %,Rostered consistency percentile,Rostered floor percentile,Rostered ceiling percentile,Consistency percentile,Floor percentile,Ceiling percentile,Weeks missed due to injury,Weeks missed due to suspension,Weeks as starter,Weeks on bench,Weeks rostered,% of starts,Win % as starter,Win % while rostered,Championships rostered by,Championships started by,Championships started in,Total points as starter,% of league points,PPG starter,Adjusted PPG starter,PPG bench,Adjusted PPG bench,PPG starter vs bench diff
Antonio Williams,shmuel256,shmuel256,1,True,21.799999999999997,21.8,10.899999999999999,10.9,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,7.78,5.4,16.4,0.0,0.0,0.0,50.0,50.0,23.6,95.2,38.2,,,,0,0,0,2,2,0.0,,,0,0,0,0.0,0.0,,,10.9,10.9,-10.9
Arian Smith,shmuel256,shmuel256,1,False,13.3,13.5,0.7823529411764706,0.9,0.8867,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,1.07,0.0,3.3,0.0,100.0,0.0,0.0,0.0,93.7,38.0,10.4,,,,1,0,0,17,17,0.0,,0.8235,1,0,0,0.0,0.0,,,0.7824,0.8867,-0.8867
Ashton Jeanty,JacobRosenzweig,JacobRosenzweig,1,False,274.7,287.1,14.457894736842105,15.1105,15.2611,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,8.65,4.4,32.7,12.5,6.2,6.2,56.2,18.8,126.67,7.92,9.52,4.4,33.5,16.7,5.6,5.6,50.0,22.2,7.4,92.0,84.7,21.8,62.9,82.1,0,0,16,3,19,0.8421,0.4375,0.4211,0,0,0,234.9,0.002,14.6813,14.6813,13.2667,19.9,-5.2187
Audric Estime,plehv79,AceMatthew,2,False,44.9,95.8,2.4944444444444445,5.3222,3.4538,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,,,,,,,,,,,3.06,0.4,10.8,0.0,76.9,0.0,7.7,15.4,83.2,53.5,29.2,,,,4,0,0,18,18,0.0,,0.5,0,0,0,0.0,0.0,,,2.4944,3.4538,-3.4538
Austin Ekeler,Oliverwkw,plehv79,4,False,1132.5,1738.2,13.168604651162791,16.2449,17.1591,1,0,6,0,0,0,0,0,0,0,7,2,0,1,1,3,8.91,2.4,41.5,15.5,6.9,27.6,44.8,5.2,666.45,11.49,8.96,2.4,41.5,13.6,9.1,24.2,45.5,7.6,11.6,78.8,93.4,19.1,37.5,91.4,15,0,58,28,86,0.6744,0.5345,0.4884,1,1,1,1058.6,0.0092,18.2517,18.2517,2.6393,9.2375,9.0142
Austin Hooper,plehv79,LWebs53,4,False,15.799999999999999,904.0,3.9499999999999997,7.1746,5.2667,0,0,0,0,0,0,0,0,0,0,0,1,0,8,4,0,5.39,0.0,10.2,0.0,50.0,0.0,50.0,0.0,4.97,1.66,4.33,2.1,10.2,0.0,33.3,0.0,33.3,33.3,75.3,85.2,23.9,63.8,21.7,30.0,1,0,3,1,4,0.75,,,0,0,0,12.3,0.0001,4.1,6.15,3.5,3.5,2.65
Bailey Zappe,BROsenzweig,BROsenzweig,1,False,7.24,113.82,7.24,7.588,7.24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,7.24,7.24,0.0,100.0,0.0,0.0,0.0,,95.8,13.7,,,,0,0,0,1,1,0.0,,,0,0,0,0.0,0.0,,,7.24,7.24,-7.24
Baker Mayfield,BROsenzweig,BROsenzweig,3,False,1297.46,1998.34,14.578202247191012,15.3718,15.8227,0,1,0,0,0,0,9,0,0,0,2,2,0,4,2,0,7.51,0.0,34.56,3.3,10.0,6.7,53.3,26.7,149.86,4.83,7.29,3.54,34.56,6.1,13.4,7.3,51.2,22.0,59.4,87.4,76.8,50.8,11.0,69.1,2,0,31,58,89,0.3483,0.4839,0.5056,0,0,0,477.4,0.0041,15.4,15.9133,14.139,15.7704,0.1429
Barion Brown,LWebs53,LWebs53,1,True,0.0,0.3,0.0,0.15,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,38.0,3.0,,,,0,0,0,1,1,0.0,,,0,0,0,0.0,0.0,,,0.0,0.0,0.0
Beaux Collins,Oliverwkw,Oliverwkw,1,False,4.5,4.5,0.2647058823529412,1.125,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,1.03,0.0,2.8,0.0,100.0,0.0,0.0,0.0,94.4,38.0,9.2,,,,7,0,0,17,17,0.0,,0.2941,0,0,0,0.0,0.0,,,0.2647,0.5,-0.5
